Cost Matl Unit,Cost Total Unit
59.43086,109.6832
59.02378,99.87696
59.02378,95.89076
58.15676,108.4091
58.14211,119.50991
58.14211,104.18151
58.14211,104.14391
57.62211,103.66151
57.51444,107.68639
57.51444,95.4702
57.51444,95.43261
57.29071,118.65851
57.29071,103.33011
57.29071,103.29251
57.12444,95.0802
57.12444,94.94757
56.78142,102.82082
56.77142,102.81082
56.77071,102.81011
56.74527,99.47872
56.73816,99.47161
56.23097,98.3261
56.04111,105.69624
56.03378,92.44716
55.94782,91.92887
55.19211,93.14787
55.18426,89.88514
55.05371,105.22566
55.05371,92.97188
54.9143,131.15293
54.79874,129.31337
54.66371,92.80513
54.66371,92.61947
54.65586,89.52591
54.04808,88.74896
53.99917,96.0943
53.52958,88.23046
53.28676,103.50475
52.33297,94.39375
51.13208,85.83296
50.61358,85.28011
50.3343,114.71777
50.21874,112.87821
50.13514,99.17269
50.11117,92.17195
50.04917,112.6234
49.78313,113.26468
49.78313,104.7316
49.71928,104.66775
49.71928,101.58505
49.23662,98.27417
49.147,113.53047
49.07897,112.87037
49.07897,112.56052
49.06121,96.99721
49.03144,111.69091
48.3663,101.35333
48.25074,99.51377
48.20822,101.21949
48.20822,101.19525
48.09266,99.37993
48.09266,99.35569
47.9504,112.33387
47.83484,110.49431
47.21245,88.31742
46.85329,87.95826
46.45805,96.86547
46.44976,90.2089
46.44238,101.35243
46.4343,95.43755
46.22055,89.8657
46.22055,87.32552
46.13447,87.23944
46.07514,95.07839
46.07326,87.85757
45.88049,87.6648
45.86139,86.96636
45.77256,101.75056
45.75389,96.48745
45.75003,87.10528
45.73547,95.50026
45.72313,109.15962
45.66407,90.03616
45.65928,100.56886
45.59921,88.38237
45.59905,87.38336
45.17662,94.17987
45.14257,86.24754
45.01897,108.7653
45.00121,92.90019
44.97917,107.50916
44.91525,96.93041
44.69773,85.91486
44.64032,85.97382
44.55436,88.19951
44.38023,78.2915
44.21094,105.96736
44.21094,91.00377
44.21093,91.00376
44.15921,86.94237
43.99334,82.89272
43.99334,78.96294
43.97947,77.89074
43.90738,79.92545
43.84384,77.75511
43.82632,88.9841
43.82632,85.15982
43.82632,85.05433
43.79,43.79
43.74036,87.38551
43.61329,84.68396
43.4784,123.75944
43.44308,77.35435
43.44205,96.67461
43.36284,121.91988
43.36284,117.95003
42.89447,83.96514
42.86449,83.93516
42.76392,105.7755
42.75656,101.77724
42.73403,86.34216
42.69592,93.24668
42.69592,81.4051
42.69592,81.34496
42.69592,81.16105
